input_txt,target_txt
"what is the difference between descriptive and evaluative force for a term [1] Normative generally means relating to an evaluative standard . [2] Normativity is the phenomenon in human societies of designating some actions or outcomes as good or desirable or permissible and others as bad or undesirable or impermissible . [3] A norm in this normative sense means a standard for evaluating or making judgments about behavior or outcomes . [4] Normative is sometimes also used , somewhat confusingly , to mean relating to a descriptive standard : doing what is normally done or what most others are expected to do in practice . [5] In this sense a norm is not evaluative , a basis for judging behavior or outcomes ; it is simply a fact or observation about behavior or outcomes , without judgment . [6] Many researchers in this field try to restrict the use of the term normative to the evaluative sense and refer to the description of behavior and outcomes as positive , descriptive , predictive , or empirical .",[1] Answer [2] Answer [3] Answer [4] Answer [5] Answer (Summary) [6] Answer (Summary)
"what makes it possible for some medications to be absorbed under the tongue [1] When a chemical comes in contact with the mucous membrane beneath the tongue , it is absorbed . [2] Because the connective tissue beneath the epithelium contains a profusion of capillaries , the substance then diffuses into them and enters the venous circulation . [3] In contrast , substances absorbed in the intestines are subject to first - pass metabolism in the liver before entering the general circulation .",[1] Answer (Summary) [2] Answer (Summary) [3] Auxiliary Information
"where do we draw the line between painting and drawing [1] Drawing is one of the major forms of expression within the visual arts . [2] It is generally concerned with the marking of lines and areas of tone onto paper / other material , where the accurate representation of the visual world is expressed upon a plane surface . [3] Traditional drawings were monochrome , or at least had little colour , while modern colored - pencil drawings may approach or cross a boundary between drawing and painting . [4] In Western terminology , drawing is distinct from painting , even though similar media often are employed in both tasks . [5] Dry media , normally associated with drawing , such as chalk , may be used in pastel paintings . [6] Drawing may be done with a liquid medium , applied with brushes or pens . [7] Similar supports likewise can serve both : painting generally involves the application of liquid paint onto prepared canvas or panels , but sometimes an underdrawing is drawn first on that same support .",[1] Auxiliary Information [2] Auxiliary Information [3] Answer (Summary) [4] Answer (Summary) [5] Answer [6] Answer [7] Answer (Summary)
"what's the difference between a graphic novel and a comic [1] A graphic novel is a book made up of comics content . [2] Although the word `` novel '' normally refers to long fictional works , the term `` graphic novel '' is applied broadly and includes fiction , non-fiction , and anthologized work . [3] It is distinguished from the term `` comic book '' , which is generally used for comics periodicals .",[1] Answer (Summary) [2] Auxiliary Information [3] Answer (Summary)
"whats the difference between a canyon and a gorge [1] The word canyon is Spanish in origin ( cañón , pronounced ( kaˈɲon ) ) , with the same meaning . [2] The word canyon is generally used in North America while the words gorge and ravine are used in Europe and Oceania , though gorge and ravine are also used in some parts of North America . [3] In the United States , place names generally use canyon in the southwest and gorge in the northeast , with the rest of the country graduating between these two according to geography . [4] In Canada , a gorge is usually narrow while a ravine is more open and often wooded . [5] The military - derived word defile is occasionally used in the United Kingdom .",[1] Auxiliary Information [2] Answer (Summary) [3] Answer (Summary) [4] Auxiliary Information [5] Auxiliary Information
"why is the venus de medici significant in the history of greek art [1] The Venus de ' Medici or Medici Venus is a Hellenistic marble sculpture depicting the Greek goddess of love Aphrodite . [2] It is a 1st - century BCE marble copy , perhaps made in Athens , of a bronze original Greek sculpture , following the type of the Aphrodite of Knidos , which would have been made by a sculptor in the immediate Praxitelean tradition , perhaps at the end of the century . [3] It has become one of the navigation points by which the progress of the Western classical tradition is traced , the references to it outline the changes of taste and the process of classical scholarship . [4] It is housed in the Uffizi Gallery , Florence , Italy .",[1] Auxiliary Information [2] Auxiliary Information [3] Answer (Summary) [4] Auxiliary Information
"how to sue for defamation of character in uk [1] English law allows actions for libel to be brought in the High Court for any published statements which are alleged to defame a named or identifiable individual ( s ) ( under English law companies are legal persons , and may bring suit for defamation ) in a manner which causes them loss in their trade or profession , or causes a reasonable person to think worse of him , her or them . [2] Allowable defences are justification ( i.e. the truth of the statement ) , fair comment ( i.e. , whether the statement was a view that a reasonable person could have held ) , and privilege ( i.e. , whether the statements were made in Parliament or in court , or whether they were fair reports of allegations in the public interest ) . [3] An offer of amends is a barrier to litigation . [4] A defamatory statement is presumed to be false , unless the defendant can prove its truth . [5] Furthermore , to collect compensatory damages , a public official or public figure must prove actual malice ( knowing falsity or reckless disregard for the truth ) . [6] A private individual must only prove negligence ( not exercising due care ) to collect compensatory damages . [7] In order to collect punitive damages , all individuals must prove actual malice .",[1] Answer (Summary) [2] Auxiliary Information [3] Answer [4] Answer [5] Answer (Summary) [6] Answer (Summary) [7] Answer (Summary)
"what were the technological developments of the old stone age [1] Stone tools were made from a variety of stones . [2] For example , flint and chert were shaped ( or chipped ) for use as cutting tools and weapons , while basalt and sandstone were used for ground stone tools , such as quern - stones . [3] Wood , bone , shell , antler ( deer ) and other materials were widely used , as well . [4] During the most recent part of the period , sediments ( such as clay ) were used to make pottery . [5] Agriculture was developed and certain animals were domesticated as well .",[1] Answer (Summary) [2] Answer - Example [3] Answer (Summary) [4] Answer (Summary) [5] Answer (Summary)
"difference between attorney general and solicitor general us [1] A Solicitor General or Solicitor - General , in common law countries , is usually a legal officer who is the chief representative of a regional or national government in courtroom proceedings . [2] In systems that have an Attorney General ( or equivalent position ) , the Solicitor General is often the second - ranked law officer of the state and a deputy of the Attorney General . [3] The extent to which a Solicitor General actually provides legal advice to or represents the government in court varies from jurisdiction to jurisdiction , and sometimes between individual office holders in the same jurisdiction .",[1] Answer (Summary) [2] Answer (Summary) [3] Auxiliary Information
"why do we use the decimal system (base 10) [1] Many numeral systems of ancient civilisations use ten and its powers for representing numbers , probably because there are ten fingers on two hands and people started counting by using their fingers . [2] Examples are Armenian numerals , Brahmi numerals , Greek numerals , Hebrew numerals , Roman numerals , and Chinese numerals . [3] Very large numbers were difficult to represent in these old numeral systems , and , only the best mathematicians were able to multiply or divide large numbers . [4] These difficulties were completely solved with the introduction of the Hindu -- Arabic numeral system for representing integers . [5] This system has been extended to represent some non-integer numbers , called decimal fractions or decimal numbers for forming the decimal numeral system .",[1] Answer (Summary) [2] Answer - Example [3] Auxiliary Information [4] Answer [5] Auxiliary Information
"why is bronze preferred over copper metal for making statues [1] Common bronze alloys have the unusual and desirable property of expanding slightly just before they set , thus filling the finest details of a mould . [2] Then , as the bronze cools , it shrinks a little , making it easier to separate from the mould . [3] Their strength and ductility ( lack of brittleness ) is an advantage when figures in action are to be created , especially when compared to various ceramic or stone materials ( such as marble sculpture ) . [4] These qualities allow the creation of extended figures , as in Jeté , or figures that have small cross sections in their support , such as the equestrian statue of Richard the Lionheart .",[1] Answer (Summary) [2] Answer (Summary) [3] Auxiliary Information [4] Answer
"how did bayonet come into the english language [1] The term bayonette dates back to the end of the 16th century , but it is not clear whether bayonets at the time were knives that could be fitted to the ends of firearms , or simply a type of knife . [2] For example , Cotgrave 's 1611 Dictionarie describes the Bayonet as `` a kind of small flat pocket dagger , furnished with knives ; or a great knife to hang at the girdle '' . [3] Likewise , Pierre Borel wrote in 1655 that a kind of long - knife called a bayonette was made in Bayonne but does not give any further description .",[1] Answer (Summary) [2] Answer - Example [3] Answer - Example
"what is the social construction of reality in sociology [1] Berger and Luckmann introduced the term `` social construction '' into the social sciences and were strongly influenced by the work of Alfred Schütz . [2] Their central concept is that people and groups interacting in a social system create , over time , concepts or mental representations of each other 's actions , and that these concepts eventually become habituated into reciprocal roles played by the actors in relation to each other . [3] When these roles are made available to other members of society to enter into and play out , the reciprocal interactions are said to be institutionalized . [4] In the process , meaning is embedded in society . [5] Knowledge and people 's conceptions ( and beliefs ) of what reality is become embedded in the institutional fabric of society . [6] Reality is therefore said to be socially constructed .",[1] Auxiliary Information [2] Answer (Summary) [3] Answer (Summary) [4] Answer (Summary) [5] Answer [6] Answer (Summary)
"what qualifies a citizen in the han dynasty to hold a government job [1] The emperor , who enjoyed paramount social status , was the head of the government administration . [2] His rule was virtually absolute , although civil officials , representing the competing interests of different state organs , scrutinized his decisions . [3] Although the Grand Commandant had a nominal role as commander - in - chief , the emperor served as the commander - in - chief of the armed forces . [4] The emperor had the sole right to appoint central government officials whose salary - rank was 600 - dan or higher . [5] The emperor also appointed the leading officials at the provincial , commandery , and county levels of government . [6] Appointees to office were usually recommended men from the commanderies , family relatives of high officials , or student graduates of the Imperial University . [7] This institution was established in 124 BC , and provided a Confucian - based education for those entering civil service .",[1] Auxiliary Information [2] Auxiliary Information [3] Auxiliary Information [4] Answer (Summary) [5] Answer [6] Answer (Summary) [7] Auxiliary Information
"why was the statue of liberty given to the us as a gift from france [1] According to the National Park Service , the idea for the Statue of Liberty was first proposed by Édouard René de Laboulaye the president of the French Anti-Slavery Society and a prominent and important political thinker of his time . [2] The project is traced to a mid-1865 conversation between de Laboulaye , a staunch abolitionist and Frédéric Bartholdi , a sculptor . [3] In after - dinner conversation at his home near Versailles , Laboulaye , an ardent supporter of the Union in the American Civil War , is supposed to have said : `` [4] If a monument should rise in the United States , as a memorial to their independence , I should think it only natural if it were built by united effort -- a common work of both our nations . '' [5] The National Park Service , in a 2000 report , however , deemed this a legend traced to an 1885 fundraising pamphlet , and that the statue was most likely conceived in 1870 . [6] In another essay on their website , the Park Service suggested that Laboulaye was minded to honor the Union victory and its consequences , `` With the abolition of slavery and the Union 's victory in the Civil War in 1865 , Laboulaye 's wishes of freedom and democracy were turning into a reality in the United States . [7] In order to honor these achievements , Laboulaye proposed that a gift be built for the United States on behalf of France . [8] Laboulaye hoped that by calling attention to the recent achievements of the United States , the French people would be inspired to call for their own democracy in the face of a repressive monarchy . ''",[1] Auxiliary Information [2] Auxiliary Information [3] Answer [4] Answer [5] Auxiliary Information [6] Answer [7] Answer (Summary) [8] Answer (Summary)
"what is differential pressure on a drilling rig [1] When the bit is bottomed and the motor is effectively working , there is a notable increase in the pressure in the fluid system . [2] This is caused by a restriction within the motor and is termed the `` differential pressure '' . [3] If this differential pressure is too high then the motor can stall which means the bit has stopped turning and this can cause severe damage to the internal surface of the stator .",[1] Answer (Summary) [2] Answer [3] Auxiliary Information
"how did english government change during the glorious revolution [1] The Glorious Revolution of 1688 is considered by some as being one of the most important events in the long evolution of the respective powers of Parliament and the Crown in England . [2] With the passage of the Bill of Rights , it stamped out once and for all any possibility of a Catholic monarchy , and ended moves towards absolute monarchy in the British kingdoms by circumscribing the monarch 's powers . [3] These powers were greatly restricted ; he or she could no longer suspend laws , levy taxes , make royal appointments , or maintain a standing army during peacetime without Parliament 's permission -- to this day the Army is known as the `` British Army '' not the `` Royal Army '' as it is , in some sense , Parliament 's Army and not that of the King . ( This is , however , a complex issue , as the Crown remains the source of all executive authority in the British army , with legal implications for unlawful orders etc . ) . [4] Since 1689 , government under a system of constitutional monarchy in England , and later the United Kingdom , has been uninterrupted . [5] Since then , Parliament 's power has steadily increased while the Crown 's has steadily declined . [6] Unlike in the English civil war of the mid-seventeenth century , the `` Glorious Revolution '' did not involve the masses of ordinary people in England ( the majority of the bloodshed occurred in Ireland ) . [7] This fact has led many historians , including Stephen Webb , to suggest that , in England at least , the events more closely resemble a coup d'état than a social revolution . [8] This view of events does not contradict what was originally meant by `` revolution '' : the coming round of an old system of values in a circular motion , back to its original position , as Britain 's constitution was reasserted , rather than formed anew .",[1] Answer (Summary) [2] Answer (Summary) [3] Answer (Summary) [4] Answer [5] Answer [6] Auxiliary Information [7] Auxiliary Information [8] Answer
"what's the difference between a specialist and a generalist [1] A generalist species is able to thrive in a wide variety of environmental conditions and can make use of a variety of different resources ( for example , a heterotroph with a varied diet ) . [2] A specialist species can thrive only in a narrow range of environmental conditions or has a limited diet . [3] Most organisms do not all fit neatly into either group , however . [4] Some species are highly specialized ( the most extreme case being monophagy ) , others less so , and some can tolerate many different environments . [5] In other words , there is a continuum from highly - specialized to broadly - generalist species .",[1] Answer (Summary) [2] Answer (Summary) [3] Auxiliary Information [4] Auxiliary Information [5] Auxiliary Information
"what does aarp do with all the money it raises [1] AARP Foundation is AARP 's affiliated charity . [2] Foundation programs provide security , protection and empowerment for older persons in need . [3] Low - income older workers receive the job training and placement they need to re-join the workforce . [4] Free tax preparation is provided for low - and moderate - income individuals , with special attention to those 60 and older . [5] The Foundation 's litigation staff protects the legal rights of older Americans in critical health , long - term care , consumer and employment situations . [6] Additional programs provide information , education , and services to ensure that people over 50 lead lives of independence , dignity , and purpose . [7] Foundation programs are funded by grants , tax - deductible contributions and AARP .  AARP addresses issues affecting older Americans through lobbying efforts at the state and national governmental level , an activity permitted by its 501 ( c ) ( 4 ) status . [8] The organization says that it is non-partisan and does not support , oppose or give money to any candidates or political parties . [9] The total revenue for 2006 was approximately $1 billion and it spent $23 million on lobbying . [10] Middle - class security has been a major focus for the organization in recent years . [11] AARP also provides extensive consumer information , volunteer opportunities , and events including the annual National Event & Expo ( 2013 in Las Vegas from May 30 -- June 1 and in Atlanta from October 3 -- 5 ) .",[1] Auxiliary Information [2] Answer (Summary) [3] Answer (Summary) [4] Answer (Summary) [5] Answer (Summary) [6] Answer (Summary) [7] Auxiliary Information [8] Auxiliary Information [9] Auxiliary Information [10] Auxiliary Information [11] Auxiliary Information
"whats the difference between yellow jackets and bees [1] Yellowjackets are sometimes mistakenly called `` bees '' ( as in `` meat bees '' ) , given that they are similar in size and sting , but yellowjackets are actually wasps . [2] They may be confused with other wasps , such as hornets and paper wasps . [3] Polistes dominula , a species of paper wasp , is very frequently misidentified as a yellowjacket . [4] A typical yellowjacket worker is about 12 mm ( 0.5 in ) long , with alternating bands on the abdomen ; the queen is larger , about 19 mm ( 0.75 in ) long ( the different patterns on their abdomens help separate various species ) . [5] Workers are sometimes confused with honey bees , especially when flying in and out of their nests . [6] Yellowjackets , in contrast to honey bees , have yellow or white markings , are not covered with tan - brown dense hair on their bodies , do not carry pollen , and do not have the flattened hairy hind legs used to carry it .",[1] Answer [2] Auxiliary Information [3] Auxiliary Information [4] Answer (Summary) [5] Auxiliary Information [6] Answer (Summary)
"what does it mean when someone says 10 fold [1] Fold change is so - called as it is common to describe an increase of multiple X as an `` X-fold increase '' . [2] As such , several dictionaries , including the Oxford English Dictionary and Merriam - Webster Dictionary , as well as Collins 's Dictionary of Mathematics , define `` - fold '' to mean `` times , '' as in `` 2-fold '' = `` 2 times '' = `` double . '' [3] Likely because of this definition , many scientists use not only `` fold '' but also `` fold change '' to be synonymous with `` times '' , as in `` 3-fold larger '' = `` 3 times larger . '' . [4] More ambiguous is fold decrease , where for instance a decrease of 50 % between two measurements would generally be referred to a `` half-fold change '' rather than a `` 2-fold decrease '' .",[1] Answer [2] Answer (Summary) [3] Auxiliary Information [4] Auxiliary Information
"what two factors contribute to the majority of india’s water pollution [1] Water pollution is a major environmental issue in India . [2] The largest source of water pollution in India is untreated sewage . [3] Other sources of pollution include agricultural runoff and unregulated small scale industry . [4] Most rivers , lakes and surface water in India are polluted .",[1] Auxiliary Information [2] Answer (Summary) [3] Answer (Summary) [4] Auxiliary Information
"what did the era of good feelings do [1] The Era of Good Feelings marked a period in the political history of the United States that reflected a sense of national purpose and a desire for unity among Americans in the aftermath of the War of 1812 . [2] The era saw the collapse of the Federalist Party and an end to the bitter partisan disputes between it and the dominant Democratic - Republican Party during the First Party System . [3] President James Monroe strove to downplay partisan affiliation in making his nominations , with the ultimate goal of national unity and eliminating parties altogether from national politics . [4] The period is so closely associated with Monroe 's presidency ( 1817 -- 1825 ) and his administrative goals that his name and the era are virtually synonymous .",[1] Answer (Summary) [2] Answer [3] Answer [4] Auxiliary Information
"why were the middle colonies often called the bread colonies [1] The partly unglaciated Middle Colonies enjoyed fertile soil vastly different from the nearby New England Colonies , which contained more rocky soil . [2] Because of the large grain exports resulting from this soil , the colonies came to be known as the Bread Basket Colonies . [3] Pennsylvania became a leading exporter of wheat , corn , rye , hemp , and flax , making it the leading food producer in the colonies , and later states , between the years of 1725 and 1840 . [4] Broad navigable rivers of relaxed current like the Susquehanna River , the Delaware River , and the Hudson River attracted diverse business . [5] Fur trappers moved along these rivers , and there was enough flow to enable milling with water wheel power .",[1] Answer (Summary) [2] Answer (Summary) [3] Answer [4] Auxiliary Information [5] Answer
"what is a violation of the public trust [1] The concept of the public trust relates back to the origins of democratic government and its seminal idea that within the public lies the true power and future of a society ; therefore , whatever trust the public places in its officials must be respected . [2] One of the reasons that bribery is regarded as a notorious evil is that it contributes to a culture of political corruption in which the public trust is eroded . [3] Other issues related to political corruption or betrayal of public trust are lobbying , special interest groups and the public cartel .",[1] Auxiliary Information [2] Answer (Summary) [3] Auxiliary Information
"how do you get crude oil out of the ground [1] Other instruments such as gravimeters and magnetometers are also used in the search for petroleum . [2] Extracting crude oil normally starts with drilling wells into an underground reservoir . [3] When an oil well has been tapped , a geologist ( known on the rig as the `` mudlogger '' ) will note its presence .",[1] Auxiliary Information [2] Answer (Summary) [3] Answer (Summary)
"how are tyrants today different from those in ancient greece [1] A tyrant ( Greek τύραννος , tyrannos ) , in the modern English usage of the word , is an absolute ruler unrestrained by law or person , or one who has usurped legitimate sovereignty . [2] Often described as a cruel character , a tyrant defends his position by oppressive means , tending to control almost everything in the state . [3] The original Greek term , however , merely meant an authoritarian sovereign without reference to character , bearing no pejorative connotation during the Archaic and early Classical periods . [4] However , it was clearly a negative word to Plato , a Greek philosopher , and on account of the decisive influence of philosophy on politics , its negative connotations only increased , continuing into the Hellenistic period .",[1] Answer (Summary) [2] Answer (Summary) [3] Answer (Summary) [4] Auxiliary Information
"what was the reason for federation in australia [1] A serious movement for Federation of the colonies arose in the late 1880s , a time when there was increasing nationalism amongst Australians , the great majority of whom were native - born . [2] The idea of being `` Australian '' began to be celebrated in songs and poems . [3] This was fostered by improvements in transport and communications , such as the establishment of a telegraph system between the colonies in 1872 . [4] The Australian colonies were also influenced by other federations which had emerged around the world , notably in Argentina , Canada , Switzerland and the United States .",[1] Answer (Summary) [2] Answer [3] Answer [4] Answer
"what does it mean to be a subject matter expert [1] A subject - matter expert ( SME ) or domain expert is a person who is an authority in a particular area or topic . [2] The term domain expert is frequently used in expert systems software development , and there the term always refers to the domain other than the software domain . [3] A domain expert is a person with special knowledge or skills in a particular area of endeavour . ( An accountant is an expert in the domain of accountancy , for example . ) [4] The development of accounting software requires knowledge in two different domains : accounting and software . [5] Some of the development workers may be experts in one domain and not the other . [6] A SME should also have basic knowledge of other technical subjects .",[1] Answer (Summary) [2] Auxiliary Information [3] Answer [4] Answer - Example [5] Answer - Example [6] Answer
"what is the hole in the coke can lid for [1] One variation was the press button can , which featured two pre-cut buttons -- one small and one large -- in the top of the can sealed with a plastic membrane . [2] These buttons were held closed by the outward pressure of the carbonated beverage . [3] The consumer would open the can by depressing both buttons , which would result in two holes . [4] The small hole would act as a vent to relieve internal pressure so the larger button could then be pressed down to create the hole used for drinking the beverage . [5] Consumers could also easily cut themselves on the edges of the holes or get their fingers stuck .",[1] Answer [2] Answer [3] Answer [4] Answer (Summary) [5] Auxiliary Information
"how did the new deal create a new meaning for liberalism [1] The realignment crystallized into the New Deal Coalition that dominated most presidential elections into the 1960s , while the opposing conservative coalition largely controlled Congress from 1939 - 64 . [2] By 1936 the term `` liberal '' typically was used for supporters of the New Deal , and `` conservative '' for its opponents . [3] From 1934 to 1938 , Roosevelt was assisted in his endeavors by a `` pro-spender '' majority in Congress ( drawn from two - party , competitive , non-machine , Progressive , and Left party districts ) . [4] In the 1938 midterm election , Roosevelt and his liberal supporters lost control of Congress to the bipartisan conservative coalition . [5] Historians generally agree that during Roosevelt 's 12 years in office , there was a dramatic increase in the power of the federal government as a whole . [6] Roosevelt also established the presidency as the prominent center of authority within the federal government . [7] Roosevelt created a large array of agencies protecting various groups of citizens -- workers , farmers , and others -- who suffered from the crisis , and thus enabled them to challenge the powers of the corporations . [8] In this way , the Roosevelt Administration generated a set of political ideas -- known as New Deal liberalism -- that remained a source of inspiration and controversy for decades . [9] New Deal liberalism lay the foundation of a new consensus . [10] Between 1940 and 1980 there was the liberal consensus about the prospects for the widespread distribution of prosperity within an expanding capitalist economy . [11] Especially Harry S. Truman 's Fair Deal and in the 1960s , Lyndon B. Johnson 's Great Society used the New Deal as inspiration for a dramatic expansion of liberal programs .",[1] Auxiliary Information [2] Answer (Summary) [3] Auxiliary Information [4] Auxiliary Information [5] Auxiliary Information [6] Auxiliary Information [7] Answer (Summary) [8] Answer (Summary) [9] Answer [10] Answer - Example [11] Auxiliary Information
"what happens if the ppf is a straight line [1] In the context of a PPF , opportunity cost is directly related to the shape of the curve ( see below ) . [2] If the shape of the PPF curve is a straight - line , the opportunity cost is constant as production of different goods is changing . [3] But , opportunity cost usually will vary depending on the start and end points . [4] In the diagram on the right , producing 10 more packets of butter , at a low level of butter production , costs the loss of 5 guns ( shown as a movement from A to B) . [5] At point C , the economy is already close to its maximum potential butter output . [6] To produce 10 more packets of butter , 50 guns must be sacrificed ( as with a movement from C to D ) . [7] The ratio of gains to losses is determined by the marginal rate of transformation .",[1] Answer [2] Answer (Summary) [3] Auxiliary Information [4] Answer - Example [5] Answer - Example [6] Answer - Example [7] Auxiliary Information
