input_txt,target_txt,q_id,a_id,target_all_labels,dataset
"What is the purpose of singles in the music industry? [1] 1. To give the artist a break from their work, so they can do something else. [2] 2. To give a little publicity to a certain artist, and make them more likely to buy a song from them in the future (which may or may not be true, but that's what I've heard). [3] 3. To provide a nice middle ground between the two big acts, so that the artists can make more money without having to deal with both big acts at once. [4] 4. To help promote a more active and innovative band, so that they can have more new artists to work with, and hopefully be more successful. [5] 5. To promote a more 'classic' sound, so that people can enjoy the sound more, and they can feel like they're part of a group that's already established. [6] 6. To provide a little 'backstory' to the album, to help the artist find something to add to it that's not already in the album, and maybe to help people find out about the song before they hear it, or how they might like it.",[1] Answer (Summary) [2] Answer (Summary) [3] Answer (Summary) [4] Answer (Summary) [5] Answer (Summary) [6] Answer (Summary),1fj2aj,p60_predicted,"[1] Answer,Answer (Summary) [2] Answer,Answer (Summary) [3] Answer,Answer (Summary) [4] Answer (Summary) [5] Answer,Answer (Summary) [6] Answer,Answer (Summary)",model_generated
"What is the purpose of singles in the music industry? [1] Back in the day, singles were a great way to tell when a band was getting ready to start. [2] They would band together and play together to determine how many songs they would need to make that day. [3] They would also start a remix session, where they would remix songs that they had already made. [4] This would allow them to start the remix session and then all of the band members could play the remix session at the same time. [5] It would allow the band members to play the remix session and then all of the band members to play the remix session at the same time. [6] This allowed for much more songs to be made and played. [7] If a band didn't have a remix session, then the band members would have to play all of the remixes at the same time. [8] If the band didn't have a remix session, then the band members would have to play all of the remixes at the same time. [9] The record label would also have to pay the band members to play all of the remixes at the same time. [10] If the band didn't have a remix session, then the band members would have to play all of the remixes at the same time. [11] Edit:",[1] Answer (Summary) [2] Auxiliary Information [3] Auxiliary Information [4] Auxiliary Information [5] Auxiliary Information [6] Auxiliary Information [7] Auxiliary Information [8] Auxiliary Information [9] Auxiliary Information [10] Auxiliary Information [11] Miscellaneous,1fj2aj,p60_random,"[1] Answer (Summary) [2] Answer,Auxiliary Information [3] Answer,Auxiliary Information [4] Auxiliary Information,Miscellaneous [5] Auxiliary Information,Miscellaneous [6] Auxiliary Information,Miscellaneous [7] Auxiliary Information,Miscellaneous [8] Auxiliary Information,Miscellaneous [9] Auxiliary Information,Miscellaneous [10] Auxiliary Information,Miscellaneous [11] Miscellaneous",model_generated
"How is the Earth's core still hot 4.5 billion years into its existence? [1] The heat is generated by radioactive decay. [2] That means that the heat is generated by the decay of radioactive elements. [3] The decay is much slower than the creation of heat. [4] So, the earth is constantly losing heat, but it's gaining heat in the process. [7] This is also the reason why there are mountains and deserts on earth. [8] As the Earth gets bigger, the amount of material for the heat to be transferred into increases, and eventually the Earth is big enough that there's enough material for the heat to be transferred into, and it's hot enough to keep the heat generated from going into space. [9] That's also why the surface of the earth is brown, as the earth is always losing the heat that it's getting from radioactive decay. [10] Also, the earth is very large, so there's a lot of material for the heat to be transferred into. [11] That's why the sun shines on the earth, and why the earth is covered in clouds.",[1] Answer (Summary) [2] Answer [3] Answer (Summary) [4] Answer [7] Auxiliary Information [8] Answer [9] Answer [10] Answer [11] Auxiliary Information,1i2q7y,p60_random,"[1] Answer (Summary) [2] Answer,Answer (Summary) [3] Answer,Answer (Summary) [4] Answer,Answer (Summary) [7] Auxiliary Information [8] Answer,Auxiliary Information [9] Answer,Auxiliary Information [10] Answer [11] Auxiliary Information,Miscellaneous",model_generated
"Why does the word 'liberal' refer to the left in the US? [1] Generally speaking the left-wing comes from classical liberalism. [3] Countries that became socialist during the 19th century were generally very liberal in economic policy (with a large emphasis on worker's rights) as opposed to the left-wing movements they developed during the 18th and 19th centuries. [4] As you can see from this paper, the government of Britain is also a liberal in economic policy and the former socialist regimes were fairly conservative in their economic policies. [5] As a result of these two reasons a lot of people mistakenly identify themselves as liberal. [6] The term comes from a reaction in the 16th century to the writings of Adam Smith (the founder of the economic system in Britain) which outlined the social ideas of the time. [7] Socialism in the 19th century was fairly limited. [8] In places like Germany where socialism is rampant you still see strong left-wing policies like free trade, strong tariffs, free movement, and government spending on social services and infrastructure rather than maintaining the existing welfare state.",[1] Answer (Summary) [3] Answer (Summary) [4] Auxiliary Information [5] Answer [6] Auxiliary Information [7] Auxiliary Information [8] Auxiliary Information,1ihljt,p90_predicted,"[1] Answer (Summary) [3] Answer,Answer (Summary) [4] Answer (Summary),Auxiliary Information [5] Answer,Auxiliary Information [6] Answer (Summary),Auxiliary Information [7] Auxiliary Information [8] Answer (Summary),Auxiliary Information",model_generated
"Why do celebrities rarely get prison sentences that match the severity of those given to non-celebrities? [1] Several reasons. * [2] A lot of famous celebrities are also very wealthy and have lots of influence to the point where the judge can use those influencing factors to get whatever they want. [3] * [4] So just because they're famous doesn't mean they have all the power and influence they need for the harshest sentences. [5] Especially if there's the famous (and very wealthy) judge behind them. * [8] Most celebrities have hundreds of thousands of dollars in fines and other settlements which they have to pay (not out of the millions they have in savings). [9] But even if they have a comparatively low minimum sentence, it's often more than enough for them to not be put to death, even if they're in prison for the rest of their lives. [10] In most places, that's not so much the case.",[1] Answer - Organizational sentence [2] Answer (Summary) [3] Miscellaneous [4] Answer [5] Answer [8] Answer (Summary) [9] Answer [10] Answer,1klurc,p90_random,"[1] Answer - Organizational sentence [2] Answer (Summary) [3] Miscellaneous [4] Answer,Auxiliary Information [5] Answer,Auxiliary Information [8] Answer,Answer (Summary) [9] Answer,Auxiliary Information [10] Answer,Auxiliary Information",model_generated
"How do shampoo and conditioner work? [1] They're both surfactants, which means they help to mix oil and dirt in your hair. [3] They are also sometimes used as a moisturizer, as it prevents the oils from getting into your hair. [5] Shampoo is sometimes called a ""conditioner"", but it's really just a surfactant. [6] There are also surfactants that are good at cleaning hair, but not as good at making it feel nice. [7] There are also surfactants that are good at making your hair look smooth, but not as good at making it feel nice. [8] There are also surfactants that are good at washing your hair, but not as good at making it feel nice. [9] When you shampoo and conditioner, you are applying surfactants that are good at making your hair feel nice, but not as good at making it feel nice. [10] This is because the surfactants are helping to make your hair feel nice, and the conditioners are helping to make your hair feel good.",[1] Answer (Summary) [3] Answer (Summary) [5] Auxiliary Information [6] Auxiliary Information [7] Auxiliary Information [8] Auxiliary Information [9] Auxiliary Information [10] Auxiliary Information,1n97ow,p60_predicted,"[1] Answer (Summary) [3] Answer,Answer (Summary) [5] Auxiliary Information [6] Answer,Auxiliary Information [7] Auxiliary Information,Miscellaneous [8] Auxiliary Information,Miscellaneous [9] Auxiliary Information,Miscellaneous [10] Auxiliary Information,Miscellaneous",model_generated
"Why have we not seen a fracturing of the Democratic Party similar to the ongoing conflict within the Republican Party? [1] Democrats have been getting bigger and bigger for decades, and the Republicans haven't had a chance to get any bigger. [3] The only way to break that kind of growing alliance is to either do something drastic, like get a big, sweeping, radical change, or make the entire base change radically. [4] Neither of those things have happened, and the Republican base is staying relatively the same size. [5] The Democrats, on the other hand, have been growing, and their base is much more likely to vote Republican. [6] They have a very strong, loyal base, and they are likely to do something drastic. [7] The Democrats, on the other hand, have been growing, and their base is much less likely to vote Republican. [8] They have a much weaker base, and they are likely to do something drastic. [9] They have a very strong, loyal base, and they are likely to do something drastic. [12] The Democrats, on the other hand, have been growing, and their base is much less likely to vote Republican.",[1] Answer (Summary) [3] Answer [4] Answer [5] Answer [6] Answer [7] Answer [8] Answer [9] Answer [12] Answer,1ou2jk,p60_random,"[1] Answer,Answer (Summary) [3] Answer,Answer (Summary) [4] Answer [5] Answer,Auxiliary Information [6] Answer [7] Answer,Miscellaneous [8] Answer,Miscellaneous [9] Answer,Miscellaneous [12] Answer,Miscellaneous",model_generated
"why is there a debate about vaccinating kids? [2] 2. Some people believe vaccines cause autism. [7] I think the debate is best summed up by [this PBS article](_URL_0_). [8] It goes into the scientific arguments and shows that there is no scientific evidence that vaccines cause autism, and that it's a myth. [9] Then it goes into the political arguments and shows that vaccines cause autism, and that the political arguments are the same as the scientific arguments. [12] The arguments are strong enough that they're enough to convince people to believe that vaccines cause autism.",[2] Answer (Summary) [7] Miscellaneous [8] Answer [9] Answer [12] Answer,1q3l60,p60_predicted,"[2] Answer,Answer (Summary) [7] Miscellaneous [8] Answer,Answer (Summary) [9] Answer,Auxiliary Information [12] Answer,Miscellaneous",model_generated
"why is there a debate about vaccinating kids? [1] It is the same reason why there's a debate about vaccinations at all; there are just too many people claiming to be autistic or allergic. [2] It's a safe, reasonable assumption that anyone who claims to be autistic or allergic or etc. is to be taken seriously. [3] You can study for free and that should be pretty convincing. [4] If you want to get into the crazy conspiracy theories, google the reported stories of people being arrested because of vaccinations, etc., but seriously that's the main reason for the debate. [7] I simply haven't read the research papers or yet have heard of any peer review reviews, so this may have been out of my control. [9] The people who are complaining are probably not doctors, nurses or doctors of immunology. [10] Also, there are a lot of people claiming to be autistic that aren't autistic. [11] In many cases, the people who claim to be autistic are literally just adults who have had experiences with autism.",[1] Answer (Summary) [2] Answer [3] Auxiliary Information [4] Answer [7] Miscellaneous [9] Auxiliary Information [10] Auxiliary Information [11] Auxiliary Information,1q3l60,p90_predicted,"[1] Answer (Summary) [2] Answer,Auxiliary Information [3] Auxiliary Information [4] Answer,Answer (Summary) [7] Auxiliary Information,Miscellaneous [9] Answer (Summary),Auxiliary Information [10] Auxiliary Information [11] Auxiliary Information",model_generated
"If we were to dig a straight hole from one side of the Earth, through the core and everything, to the other side, what would happen to our planet? [1] The Earth's core wouldn't move one bit. [2] There would be a constant 1% chance that you'd hit a stop halfway through, a statistically insignificant amount. [3] It would eventually stop, but not much sooner than a year. [4] The entire surface would become molten as the heat from the interior of the Earth slowly melted it, the Earth's magnetic field would start to shift, a tectonic plate would eventually form, the magnetic field would dissipate, and we would freeze out from the inside. [5] Our magnetic field would become permanent and we'd be left with a molten rock planet, like [this](_URL_0_). [6] It would oscillate between molten and solid, heating and cooling quite a bit at a time, but eventually would stop. [8] Temperatures would gradually rise over billions of years, culminating in an almost-solid crust at one end of the Earth.",[1] Answer (Summary) [2] Answer [3] Answer [4] Answer (Summary) [5] Answer [6] Answer [8] Answer (Summary),1s2eiv,p90_random,"[1] Answer,Answer (Summary) [2] Answer,Auxiliary Information [3] Answer,Auxiliary Information [4] Answer,Answer (Summary) [5] Answer,Answer (Summary) [6] Answer,Answer (Summary) [8] Answer,Answer (Summary)",model_generated
"Why do we even let kids believe in Santa Claus? [1] A lot of it has to do with the fact that our parents are probably religious, and we are told that Santa is real. [2] There are plenty of examples of religious beliefs that are so absurd that they are completely foreign to the common man, yet still retain an effect on their children. [3] For example, in the Catholic Church, there is a belief that Santa exists. [4] It is a belief that Santa exists in every single town and city, and is actually the same person as Jesus Christ. [5] There are literally hundreds of towns in Europe, each with a different Santa Claus. [6] There are dozens of stories told about Santa, each with different beliefs and locations, and dozens of Santa costumes, each with a different story. [7] And yet the religious beliefs of the children still hold a huge influence on their children. [8] The religious beliefs of the children also influence the religious beliefs of the parents, who in turn influence the religious beliefs of the children, etc. [9] This is one of the reasons why children are so encouraged to believe in Santa. [10] It's a form of religious indoctrination, and because of that, it's easy to manipulate children into believing whatever you want them to believe.",[1] Answer [2] Auxiliary Information [3] Answer - Example [4] Answer - Example [5] Answer - Example [6] Answer - Example [7] Answer [8] Answer [9] Answer [10] Answer (Summary),1tv5gl,p60_random,"[1] Answer,Answer (Summary) [2] Answer,Auxiliary Information [3] Answer - Example [4] Answer - Example [5] Answer - Example [6] Answer - Example,Miscellaneous [7] Answer,Miscellaneous [8] Answer,Miscellaneous [9] Answer [10] Answer (Summary)",model_generated
"Why do I feel like I'm going to vomit when I get really hungry? [1] Like other posters said, your body is triggering you with low blood sugar. [2] This is especially true if you are short on energy. [3] It is likely that you are not alone. [4] This may be due to various reasons (your diet, diabetes, weight, heart problem, etc.), but it also could be due to chronic liver disease. [7] A prolonged period of low blood sugar is associated with discomfort and fatigue, which is why many people feel nauseous after eating. [8] Low blood sugar is associated with depression, which is why depressed people often feel nauseous. [10] Fats are usually the primary macronutrients, but there are a few other things (like protein, vitamins, etc.) that you can survive on.",[1] Answer (Summary) [2] Answer [3] Auxiliary Information [4] Auxiliary Information [7] Auxiliary Information [8] Answer [10] Answer,1vl3tt,p90_predicted,"[1] Answer,Answer (Summary) [2] Answer,Answer (Summary) [3] Auxiliary Information [4] Answer,Auxiliary Information [7] Answer,Auxiliary Information [8] Answer,Auxiliary Information [10] Answer,Auxiliary Information",model_generated
"Do ex-prisoners who have been found not-guilty a while into their wrongful sentencing receive any compensation for their unnecessary time in prison? [1] Not all sentenced cons are guilty after their release. [2] Some were wrongly convicted and some were wrongfully released. [3] It's pretty much up to each jurisdiction, and based on their laws, they may allow a retrial if they believe there was some reason not to (e.g. they believe the convict has been admitted to society, but believes in a better life/morals). [4] If a judge thinks the inmate shouldn't be retried, they may allow the inmate to be released. [5] But they will probably not let them be released without some sort of accolade/monetary compensation, such as cash.",[1] Auxiliary Information [2] Auxiliary Information [3] Auxiliary Information [4] Auxiliary Information [5] Answer (Summary),1vzi61,p90_predicted,"[1] Auxiliary Information [2] Auxiliary Information [3] Answer,Auxiliary Information [4] Answer,Auxiliary Information [5] Answer (Summary)",model_generated
"If the international space station can retain about 93% of the water used on board, why don't we implement some of the technology used in everyday homes? [1] The real reason is it takes a lot of energy to desalinate water and there is simply not enough money available for all of it. [2] At NASA the mission is to study desalination and solve problems regarding the logistical efficiency of moving water and waste products to space. [3] This is happening right now and the result of the study is working in the lab. [4] At all costs efficiency is a big concern in any research projects because there are costs associated with running a complex system and maintaining a large, complex environment that requires resources. [5] The space station is currently operating in a terribly constrained space where its only purpose is to research and replicate experiments and design solutions to their solutions. [6] If we could somehow isolate all of the water we use on the station then we could solve all of the problems and solve all of the problems that arise when we bring water into space. [7] But there is only so much space available at NASA so that is not going to happen anytime soon. [8] And this is also not a solved problem - we are simply running out of water to use and to design solutions for. [9] There will still need to be massive upgrades on the ISS and equipment to continue to meet the requirements to solve.",[1] Answer (Summary) [2] Auxiliary Information [3] Auxiliary Information [4] Auxiliary Information [5] Auxiliary Information [6] Auxiliary Information [7] Auxiliary Information [8] Auxiliary Information [9] Auxiliary Information,1ymncp,p90_predicted,"[1] Answer (Summary) [2] Answer,Auxiliary Information [3] Answer,Auxiliary Information [4] Answer,Auxiliary Information [5] Answer,Auxiliary Information [6] Answer,Auxiliary Information [7] Answer,Auxiliary Information [8] Answer,Auxiliary Information [9] Answer,Auxiliary Information",model_generated
"why doesn't tin foil feel hot to the touch even while it is in the oven or on a grill? [2] The layer of foil between your hand and the knife is a much better conductor than air, so heat doesn't transfer. [3] Another factor is that the layer of foil is so thin, it doesn't have a lot of individual molecules that your skin can touch, so your brain can't detect any of the individual heat sources in the area. [4] Since it has a much lower density than air, it doesn't allow the heat to transfer very effectively, because the atoms are too far apart for you to actually feel any of the individual heat on the surface. [5] Finally, aluminum foil is basically one big sheet of metal, so it doesn't have any individual thermal conductors, so the heat loss from your skin is all radiated away in your entire body. [6] On top of that, aluminum foil is very thin, so it cools off a lot faster than, say, say, wood, which is thick and has lots of individual (and often very large) individual heat sources, and therefore can transfer heat well, giving you a convection current.",[2] Answer (Summary) [3] Answer (Summary) [4] Answer [5] Answer (Summary) [6] Answer (Summary),1yo6bv,p90_predicted,"[2] Answer,Answer (Summary) [3] Answer (Summary) [4] Answer,Answer (Summary) [5] Answer,Answer (Summary) [6] Answer (Summary)",model_generated
"If silver is the best conductor of any metal, why do we most often use gold? [1] Silver is used because it is soft and ductile. [2] It's also relatively easy to work with. [3] That's why we use it in electronics and a lot of other things. [4] That's also why we use it as a plating for old metal, because it's soft and ductile enough to be applied without corroding it. [5] It's also why we use it as a coating for a really old wall. [6] That's why we use it as a paint, because it's soft and ductile enough to be applied without corroding it. [7] And of course, there are tons of other applications that we use for it. [8] The real reason gold is used is because it is the most abundant metal in the universe. [10] Gold is also very malleable, which means that it can be bent and stretched out very easily. [11] That makes it useful for making things out of gold, like jewellery and electronics. [12] It's also a very good conductor of electricity. [13] It's also very light, which makes it useful for a lot of things, like making microchips and things like that.",[1] Auxiliary Information [2] Auxiliary Information [3] Auxiliary Information [4] Auxiliary Information [5] Auxiliary Information [6] Auxiliary Information [7] Auxiliary Information [8] Answer (Summary) [10] Answer (Summary) [11] Answer [12] Answer (Summary) [13] Answer (Summary),1ytfbv,p60_predicted,"[1] Auxiliary Information [2] Auxiliary Information [3] Auxiliary Information [4] Auxiliary Information [5] Auxiliary Information [6] Auxiliary Information [7] Auxiliary Information [8] Answer (Summary),Miscellaneous [10] Answer (Summary) [11] Answer,Auxiliary Information [12] Answer (Summary) [13] Answer,Answer (Summary)",model_generated
"Why do some people find GMO controversial when farmers have been modifying crops for centuries? [2] What GMO means, as explained by other answers, is ""growing using the same technology"". [3] That has been done in farms for centuries. [5] As a result, there is some small chunk of society who is upset at GMOs, as if they're violating some natural laws (like the ocean being blue or the wind blowing faster than air). [7] It could also be the idea that there are slightly better ways to handle their food, so they don't eat that shit right out of the box. [9] And then there's some people who don't understand science. [10] They don't understand what scientific study is, and they don't understand how to think about things without being told what to think about. [11] And finally there's also",[2] Answer [3] Auxiliary Information [5] Answer (Summary) [7] Answer (Summary) [9] Answer (Summary) [10] Answer [11] Miscellaneous,1yvztp,p90_predicted,"[2] Answer,Auxiliary Information [3] Answer,Auxiliary Information [5] Answer (Summary) [7] Answer (Summary),Auxiliary Information [9] Answer (Summary),Auxiliary Information [10] Answer,Auxiliary Information [11] Auxiliary Information,Miscellaneous",model_generated
"If a person with a gun pointed to their head got shot, would they hear the shot or would it be too late? [1] I've heard that if you're shot in the head, you will still hear the sound of the gunshot, but that will be different for everyone. [4] So you'll probably hear the sound of the gunshot, but you won't hear the sound of the kick, since you're both in the stomach. [5] In the video I saw on YT, it looks like the sound of the gunshot is louder for people who are shot in the head. [6] If you're shot in the chest, you'll hear the sound of the gunshot, but if you're shot in the stomach, you won't hear it.",[1] Answer (Summary) [4] Auxiliary Information [5] Miscellaneous [6] Auxiliary Information,1z9t1n,p60_random,"[1] Answer (Summary) [4] Auxiliary Information,Miscellaneous [5] Auxiliary Information,Miscellaneous [6] Auxiliary Information,Miscellaneous",model_generated
